Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
243;1;1.250;-0.250;-3.505;0.00;-0.10;-0.24;-0.73;0.42;8.75;29.12;-9.35
244;1;1.250;-0.350;-3.523;0.02;-0.13;-0.20;-0.31;0.11;5.89;23.98;-6.19
245;1;1.250;-0.450;-3.540;0.03;-0.14;-0.17;-0.15;-0.09;3.84;19.58;-3.86
246;1;1.250;-0.550;-3.557;0.04;-0.14;-0.15;-0.05;-0.24;2.27;15.81;-2.09
247;1;1.250;-0.650;-3.574;0.05;-0.13;-0.14;0.01;-0.33;1.04;12.56;-0.73
248;1;1.250;-0.750;-3.591;0.06;-0.11;-0.12;0.04;-0.36;0.07;9.80;0.29
249;1;1.250;-0.850;-3.609;0.07;-0.10;-0.11;0.06;-0.36;-0.68;7.44;1.03
250;1;1.250;-0.950;-3.626;0.07;-0.08;-0.09;0.07;-0.36;-1.22;5.44;1.55
251;1;1.250;-1.050;-3.643;0.07;-0.06;-0.08;0.08;-0.35;-1.59;3.74;1.88
252;1;1.250;-1.150;-3.660;0.07;-0.04;-0.07;0.09;-0.32;-1.80;2.31;2.07
253;1;1.250;-1.250;-3.677;0.07;-0.03;-0.06;0.11;-0.31;-1.89;1.11;2.14
254;1;1.250;-1.350;-3.695;0.07;-0.01;-0.05;0.12;-0.29;-1.88;0.10;2.13
255;1;1.250;-1.450;-3.712;0.07;0.00;-0.05;0.13;-0.27;-1.80;-0.76;2.07
256;1;1.250;-1.550;-3.729;0.07;0.01;-0.04;0.13;-0.24;-1.65;-1.48;1.99
257;1;1.250;-1.650;-3.746;0.07;0.03;-0.04;0.13;-0.21;-1.47;-2.11;1.91
258;1;1.250;-1.750;-3.763;0.07;0.03;-0.04;0.13;-0.18;-1.25;-2.64;1.84
259;1;1.250;-1.850;-3.780;0.07;0.04;-0.04;0.13;-0.16;-1.03;-3.11;1.82
260;1;1.250;-1.950;-3.798;0.07;0.05;-0.04;0.12;-0.13;-0.82;-3.53;1.84
261;1;1.350;-0.050;-3.496;-0.15;0.01;-0.29;-1.82;1.00;16.88;41.06;-17.95
262;1;1.350;-0.150;-3.512;-0.06;-0.06;-0.25;-0.95;0.60;11.69;35.24;-12.58
263;1;1.350;-0.250;-3.529;-0.02;-0.10;-0.22;-0.54;0.26;8.13;29.65;-8.43
264;1;1.350;-0.350;-3.545;0.01;-0.12;-0.20;-0.34;0.01;5.67;24.89;-5.53
265;1;1.350;-0.450;-3.562;0.03;-0.12;-0.17;-0.20;-0.15;3.85;20.65;-3.31
266;1;1.350;-0.550;-3.579;0.05;-0.11;-0.16;-0.10;-0.26;2.43;17.00;-1.59
267;1;1.350;-0.650;-3.595;0.06;-0.10;-0.14;-0.05;-0.32;1.30;13.82;-0.27
268;1;1.350;-0.750;-3.612;0.07;-0.08;-0.13;-0.02;-0.33;0.41;11.09;0.73
269;1;1.350;-0.850;-3.628;0.08;-0.07;-0.11;0.02;-0.33;-0.27;8.75;1.45
270;1;1.350;-0.950;-3.645;0.08;-0.05;-0.10;0.04;-0.33;-0.76;6.77;1.96
271;1;1.350;-1.050;-3.661;0.09;-0.04;-0.08;0.06;-0.32;-1.08;5.08;2.28
272;1;1.350;-1.150;-3.678;0.09;-0.02;-0.07;0.08;-0.31;-1.25;3.65;2.46
273;1;1.350;-1.250;-3.695;0.09;-0.01;-0.06;0.11;-0.30;-1.32;2.44;2.54
274;1;1.350;-1.350;-3.711;0.09;0.01;-0.06;0.13;-0.28;-1.30;1.42;2.53
275;1;1.350;-1.450;-3.728;0.09;0.02;-0.05;0.13;-0.26;-1.21;0.55;2.48
276;1;1.350;-1.550;-3.744;0.09;0.03;-0.05;0.14;-0.23;-1.06;-0.19;2.40
277;1;1.350;-1.650;-3.761;0.09;0.04;-0.04;0.15;-0.21;-0.86;-0.84;2.31
278;1;1.350;-1.750;-3.777;0.08;0.05;-0.04;0.15;-0.18;-0.65;-1.40;2.25
279;1;1.350;-1.850;-3.794;0.08;0.06;-0.04;0.15;-0.16;-0.42;-1.90;2.21
280;1;1.350;-1.950;-3.810;0.08;0.06;-0.04;0.15;-0.13;-0.21;-2.36;2.23
281;1;1.450;-0.050;-3.520;-0.18;-0.02;-0.23;-1.36;0.67;15.05;39.10;-16.31
282;1;1.450;-0.150;-3.536;-0.09;-0.07;-0.23;-0.80;0.54;10.67;34.51;-11.44
283;1;1.450;-0.250;-3.552;-0.04;-0.10;-0.21;-0.55;0.18;7.61;29.81;-7.69
284;1;1.450;-0.350;-3.568;0.00;-0.10;-0.19;-0.37;-0.04;5.52;25.48;-4.95
285;1;1.450;-0.450;-3.584;0.03;-0.10;-0.18;-0.26;-0.20;3.92;21.50;-2.80
286;1;1.450;-0.550;-3.600;0.05;-0.09;-0.16;-0.18;-0.26;2.64;17.97;-1.12
287;1;1.450;-0.650;-3.616;0.07;-0.08;-0.15;-0.12;-0.29;1.61;14.90;0.18
288;1;1.450;-0.750;-3.632;0.08;-0.06;-0.13;-0.08;-0.31;0.80;12.23;1.15
289;1;1.450;-0.850;-3.648;0.09;-0.05;-0.11;-0.04;-0.31;0.20;9.94;1.86
290;1;1.450;-0.950;-3.664;0.10;-0.03;-0.10;0.00;-0.31;-0.23;7.98;2.35
291;1;1.450;-1.050;-3.680;0.10;-0.02;-0.09;0.03;-0.31;-0.50;6.31;2.67
292;1;1.450;-1.150;-3.696;0.10;0.00;-0.08;0.07;-0.31;-0.66;4.89;2.85
293;1;1.450;-1.250;-3.712;0.10;0.01;-0.07;0.10;-0.29;-0.71;3.68;2.92
294;1;1.450;-1.350;-3.728;0.11;0.03;-0.06;0.12;-0.27;-0.67;2.66;2.92
295;1;1.450;-1.450;-3.744;0.10;0.04;-0.05;0.13;-0.25;-0.57;1.78;2.87
296;1;1.450;-1.550;-3.760;0.10;0.05;-0.05;0.15;-0.23;-0.41;1.03;2.79
297;1;1.450;-1.650;-3.775;0.10;0.06;-0.05;0.15;-0.20;-0.22;0.37;2.70
298;1;1.450;-1.750;-3.791;0.10;0.07;-0.04;0.16;-0.18;0.00;-0.21;2.63
299;1;1.450;-1.850;-3.807;0.09;0.07;-0.04;0.16;-0.16;0.21;-0.74;2.59
300;1;1.450;-1.950;-3.823;0.09;0.07;-0.04;0.17;-0.13;0.42;-1.22;2.59
301;1;1.550;-0.050;-3.545;-0.22;-0.05;-0.21;-1.29;0.28;13.68;37.18;-14.73
302;1;1.550;-0.150;-3.560;-0.13;-0.08;-0.20;-0.94;0.37;9.83;33.25;-10.43
303;1;1.550;-0.250;-3.576;-0.06;-0.09;-0.19;-0.57;0.09;7.27;29.51;-7.06
304;1;1.550;-0.350;-3.591;-0.02;-0.09;-0.19;-0.38;-0.09;5.48;25.71;-4.44
305;1;1.550;-0.450;-3.606;0.02;-0.08;-0.18;-0.28;-0.19;4.06;22.06;-2.33
306;1;1.550;-0.550;-3.622;0.05;-0.07;-0.16;-0.23;-0.24;2.90;18.74;-0.67
307;1;1.550;-0.650;-3.637;0.07;-0.06;-0.15;-0.18;-0.26;1.97;15.79;0.60
308;1;1.550;-0.750;-3.652;0.08;-0.04;-0.13;-0.14;-0.28;1.26;13.22;1.56
309;1;1.550;-0.850;-3.668;0.10;-0.03;-0.12;-0.09;-0.29;0.73;10.98;2.25
310;1;1.550;-0.950;-3.683;0.11;-0.01;-0.10;-0.04;-0.30;0.36;9.06;2.74
311;1;1.550;-1.050;-3.698;0.11;0.01;-0.09;0.02;-0.30;0.13;7.42;3.05
312;1;1.550;-1.150;-3.714;0.12;0.02;-0.08;0.06;-0.30;0.00;6.02;3.23
313;1;1.550;-1.250;-3.729;0.12;0.03;-0.07;0.08;-0.28;-0.03;4.83;3.31
314;1;1.550;-1.350;-3.744;0.12;0.05;-0.06;0.11;-0.26;0.02;3.81;3.31
315;1;1.550;-1.450;-3.760;0.12;0.06;-0.06;0.13;-0.24;0.13;2.93;3.25
316;1;1.550;-1.550;-3.775;0.12;0.07;-0.05;0.14;-0.22;0.29;2.17;3.17
317;1;1.550;-1.650;-3.790;0.11;0.08;-0.05;0.16;-0.20;0.47;1.51;3.08
318;1;1.550;-1.750;-3.805;0.11;0.08;-0.05;0.17;-0.18;0.68;0.92;3.00
319;1;1.550;-1.850;-3.821;0.11;0.09;-0.05;0.18;-0.16;0.88;0.38;2.95
320;1;1.550;-1.950;-3.836;0.10;0.09;-0.05;0.18;-0.14;1.07;-0.11;2.93
321;1;1.650;-0.050;-3.570;-0.25;-0.06;-0.19;-1.21;0.20;12.60;35.41;-13.19
322;1;1.650;-0.150;-3.585;-0.15;-0.08;-0.18;-0.84;0.16;9.30;31.94;-9.36
323;1;1.650;-0.250;-3.599;-0.09;-0.08;-0.18;-0.55;0.04;7.16;28.92;-6.37
324;1;1.650;-0.350;-3.614;-0.03;-0.08;-0.18;-0.44;-0.11;5.57;25.66;-3.91
325;1;1.650;-0.450;-3.629;0.01;-0.07;-0.17;-0.37;-0.17;4.28;22.34;-1.87
326;1;1.650;-0.550;-3.643;0.04;-0.05;-0.16;-0.31;-0.20;3.23;19.25;-0.24
327;1;1.650;-0.650;-3.658;0.07;-0.04;-0.14;-0.25;-0.24;2.41;16.48;1.01
328;1;1.650;-0.750;-3.673;0.09;-0.02;-0.13;-0.19;-0.26;1.80;14.03;1.95
329;1;1.650;-0.850;-3.687;0.10;-0.01;-0.11;-0.12;-0.28;1.34;11.88;2.64
330;1;1.650;-0.950;-3.702;0.11;0.01;-0.10;-0.06;-0.30;1.03;10.03;3.12
331;1;1.650;-1.050;-3.717;0.12;0.03;-0.09;-0.01;-0.30;0.83;8.43;3.44
332;1;1.650;-1.150;-3.731;0.13;0.04;-0.08;0.03;-0.29;0.74;7.06;3.62
333;1;1.650;-1.250;-3.746;0.13;0.05;-0.07;0.06;-0.27;0.72;5.88;3.70
334;1;1.650;-1.350;-3.761;0.13;0.07;-0.07;0.09;-0.26;0.78;4.88;3.70
335;1;1.650;-1.450;-3.775;0.13;0.08;-0.06;0.12;-0.24;0.89;4.01;3.65
336;1;1.650;-1.550;-3.790;0.13;0.09;-0.06;0.14;-0.22;1.04;3.26;3.56
337;1;1.650;-1.650;-3.805;0.13;0.09;-0.05;0.16;-0.20;1.21;2.59;3.47
338;1;1.650;-1.750;-3.820;0.12;0.10;-0.05;0.17;-0.18;1.40;2.00;3.38
339;1;1.650;-1.850;-3.834;0.12;0.10;-0.05;0.18;-0.16;1.58;1.46;3.31
340;1;1.650;-1.950;-3.849;0.12;0.11;-0.05;0.19;-0.14;1.75;0.96;3.27
341;1;1.750;-0.050;-3.595;-0.29;-0.08;-0.18;-1.10;0.11;11.81;33.67;-11.69
342;1;1.750;-0.150;-3.609;-0.19;-0.08;-0.18;-0.84;-0.02;9.09;30.81;-8.31
343;1;1.750;-0.250;-3.623;-0.12;-0.08;-0.18;-0.69;-0.03;7.26;28.15;-5.61
344;1;1.750;-0.350;-3.637;-0.06;-0.07;-0.18;-0.56;-0.10;5.83;25.37;-3.32
345;1;1.750;-0.450;-3.651;-0.01;-0.05;-0.17;-0.47;-0.15;4.66;22.40;-1.36
346;1;1.750;-0.550;-3.665;0.03;-0.04;-0.16;-0.39;-0.19;3.72;19.57;0.22
347;1;1.750;-0.650;-3.679;0.06;-0.02;-0.14;-0.31;-0.22;3.00;17.00;1.44
348;1;1.750;-0.750;-3.693;0.08;-0.01;-0.13;-0.23;-0.26;2.46;14.70;2.37
349;1;1.750;-0.850;-3.707;0.10;0.01;-0.11;-0.16;-0.28;2.07;12.66;3.05
350;1;1.750;-0.950;-3.721;0.12;0.03;-0.10;-0.10;-0.29;1.80;10.88;3.53
351;1;1.750;-1.050;-3.735;0.13;0.04;-0.09;-0.05;-0.28;1.64;9.34;3.84
352;1;1.750;-1.150;-3.749;0.14;0.06;-0.08;0.00;-0.28;1.56;8.00;4.02
353;1;1.750;-1.250;-3.763;0.14;0.07;-0.08;0.04;-0.26;1.56;6.86;4.10
354;1;1.750;-1.350;-3.777;0.14;0.08;-0.07;0.07;-0.25;1.62;5.87;4.10
355;1;1.750;-1.450;-3.791;0.15;0.10;-0.06;0.10;-0.23;1.72;5.02;4.05
356;1;1.750;-1.550;-3.805;0.14;0.10;-0.06;0.13;-0.22;1.85;4.28;3.97
357;1;1.750;-1.650;-3.820;0.14;0.11;-0.06;0.15;-0.20;2.00;3.63;3.86
358;1;1.750;-1.750;-3.834;0.14;0.12;-0.06;0.17;-0.18;2.16;3.04;3.76
359;1;1.750;-1.850;-3.848;0.13;0.12;-0.06;0.19;-0.17;2.31;2.50;3.68
360;1;1.750;-1.950;-3.862;0.13;0.12;-0.06;0.20;-0.15;2.45;2.00;3.62
361;1;1.850;-0.050;-3.619;-0.33;-0.09;-0.18;-1.07;-0.01;11.45;31.99;-10.22
362;1;1.850;-0.150;-3.633;-0.24;-0.09;-0.18;-0.91;-0.07;9.19;29.73;-7.27
363;1;1.850;-0.250;-3.646;-0.15;-0.08;-0.17;-0.79;-0.09;7.57;27.32;-4.77
364;1;1.850;-0.350;-3.660;-0.08;-0.06;-0.17;-0.67;-0.11;6.28;24.91;-2.65
365;1;1.850;-0.450;-3.673;-0.03;-0.04;-0.16;-0.57;-0.14;5.21;22.28;-0.78
366;1;1.850;-0.550;-3.686;0.02;-0.03;-0.15;-0.46;-0.19;4.37;19.72;0.73
367;1;1.850;-0.650;-3.700;0.05;-0.01;-0.14;-0.36;-0.24;3.73;17.36;1.91
368;1;1.850;-0.750;-3.713;0.08;0.01;-0.13;-0.28;-0.26;3.26;15.23;2.82
369;1;1.850;-0.850;-3.727;0.10;0.03;-0.11;-0.21;-0.28;2.92;13.31;3.49
370;1;1.850;-0.950;-3.740;0.12;0.05;-0.10;-0.15;-0.28;2.69;11.62;3.96
371;1;1.850;-1.050;-3.754;0.13;0.06;-0.09;-0.09;-0.27;2.55;10.14;4.27
372;1;1.850;-1.150;-3.767;0.14;0.08;-0.08;-0.04;-0.27;2.49;8.86;4.45
373;1;1.850;-1.250;-3.780;0.15;0.09;-0.08;0.01;-0.26;2.49;7.76;4.53
374;1;1.850;-1.350;-3.794;0.15;0.10;-0.07;0.05;-0.25;2.54;6.80;4.54
375;1;1.850;-1.450;-3.807;0.16;0.11;-0.07;0.08;-0.23;2.62;5.97;4.48
376;1;1.850;-1.550;-3.821;0.16;0.12;-0.06;0.11;-0.22;2.72;5.25;4.39
377;1;1.850;-1.650;-3.834;0.15;0.13;-0.06;0.14;-0.21;2.84;4.62;4.28
378;1;1.850;-1.750;-3.848;0.15;0.14;-0.06;0.17;-0.19;2.96;4.04;4.17
379;1;1.850;-1.850;-3.861;0.15;0.14;-0.06;0.19;-0.17;3.07;3.51;4.06
380;1;1.850;-1.950;-3.875;0.14;0.14;-0.06;0.20;-0.16;3.16;3.01;3.98
381;1;1.950;-0.050;-3.644;-0.38;-0.10;-0.19;-1.10;-0.09;11.48;30.44;-8.80
382;1;1.950;-0.150;-3.657;-0.28;-0.09;-0.18;-0.98;-0.11;9.54;28.62;-6.19
383;1;1.950;-0.250;-3.670;-0.19;-0.07;-0.17;-0.86;-0.14;8.10;26.51;-3.87
384;1;1.950;-0.350;-3.682;-0.11;-0.06;-0.17;-0.76;-0.12;6.94;24.36;-1.88
385;1;1.950;-0.450;-3.695;-0.05;-0.04;-0.16;-0.64;-0.16;5.97;22.05;-0.13
386;1;1.950;-0.550;-3.708;0.00;-0.02;-0.14;-0.52;-0.21;5.21;19.76;1.31
387;1;1.950;-0.650;-3.721;0.04;0.00;-0.13;-0.42;-0.24;4.65;17.61;2.44
388;1;1.950;-0.750;-3.734;0.07;0.02;-0.12;-0.34;-0.26;4.23;15.63;3.32
389;1;1.950;-0.850;-3.746;0.10;0.04;-0.11;-0.26;-0.27;3.93;13.85;3.97
390;1;1.950;-0.950;-3.759;0.12;0.06;-0.10;-0.19;-0.27;3.72;12.26;4.43
391;1;1.950;-1.050;-3.772;0.14;0.08;-0.09;-0.13;-0.27;3.60;10.86;4.74
392;1;1.950;-1.150;-3.785;0.15;0.10;-0.08;-0.07;-0.26;3.54;9.64;4.92
393;1;1.950;-1.250;-3.798;0.16;0.11;-0.08;-0.02;-0.25;3.52;8.58;5.00
394;1;1.950;-1.350;-3.810;0.16;0.12;-0.07;0.02;-0.25;3.55;7.66;5.00
395;1;1.950;-1.450;-3.823;0.16;0.13;-0.07;0.06;-0.23;3.60;6.87;4.95
396;1;1.950;-1.550;-3.836;0.16;0.14;-0.07;0.10;-0.22;3.66;6.17;4.85
397;1;1.950;-1.650;-3.849;0.16;0.15;-0.06;0.13;-0.21;3.73;5.56;4.73
398;1;1.950;-1.750;-3.862;0.16;0.16;-0.06;0.16;-0.20;3.80;5.00;4.60
399;1;1.950;-1.850;-3.875;0.16;0.16;-0.06;0.18;-0.18;3.86;4.49;4.48
400;1;1.950;-1.950;-3.887;0.15;0.16;-0.07;0.20;-0.17;3.90;4.01;4.37
401;1;0.200;-2.200;-3.723;0.18;-0.04;0.00;-0.19;-0.06;-5.47;-11.81;-3.59
402;1;0.200;-2.600;-3.818;0.22;-0.02;-0.01;-0.15;-0.04;-6.43;-9.53;-2.13
403;1;0.200;-3.000;-3.912;0.25;-0.02;0.00;-0.13;-0.01;-8.90;-6.74;-0.92
404;1;0.200;-3.400;-4.008;0.26;-0.02;0.02;-0.05;0.00;-11.95;-3.20;-0.58
405;1;0.200;-3.800;-4.102;0.27;-0.02;0.05;0.07;-0.07;-12.31;0.19;-0.75
406;1;0.600;-2.200;-3.767;0.10;-0.01;-0.02;-0.12;-0.08;-3.99;-10.94;-1.12
407;1;0.600;-2.600;-3.852;0.14;-0.01;-0.03;-0.13;-0.02;-4.87;-9.62;0.49
408;1;0.600;-3.000;-3.938;0.18;-0.02;-0.02;-0.15;-0.01;-7.45;-7.24;2.40
409;1;0.600;-3.400;-4.023;0.22;-0.03;0.00;-0.13;-0.05;-10.97;-3.56;3.32
410;1;0.600;-3.800;-4.108;0.26;-0.02;0.03;-0.09;-0.11;-11.88;0.22;1.91
411;1;1.000;-2.200;-3.813;0.07;0.02;-0.03;0.03;-0.07;-1.99;-7.06;1.19
412;1;1.000;-2.600;-3.888;0.09;0.01;-0.04;-0.02;-0.01;-2.61;-7.15;2.86
413;1;1.000;-3.000;-3.963;0.13;-0.01;-0.05;-0.06;-0.01;-5.33;-5.97;5.16
414;1;1.000;-3.400;-4.037;0.17;-0.03;-0.03;-0.09;-0.07;-10.04;-3.11;6.39
415;1;1.000;-3.800;-4.113;0.22;-0.02;0.00;-0.07;-0.14;-14.32;0.28;3.79
416;1;1.400;-2.200;-3.858;0.08;0.07;-0.05;0.16;-0.08;0.40;-2.75;2.77
417;1;1.400;-2.600;-3.922;0.09;0.05;-0.06;0.12;-0.02;-0.12;-3.95;4.25
418;1;1.400;-3.000;-3.987;0.11;0.01;-0.07;0.07;-0.03;-3.12;-4.10;6.62
419;1;1.400;-3.400;-4.052;0.16;-0.02;-0.06;0.03;-0.09;-9.56;-2.45;8.07
420;1;1.400;-3.800;-4.117;0.21;-0.01;-0.03;0.02;-0.14;-18.53;0.35;4.88
421;1;1.800;-2.200;-3.902;0.13;0.13;-0.07;0.23;-0.11;2.89;1.33;3.91
422;1;1.800;-2.600;-3.957;0.12;0.10;-0.09;0.24;-0.06;2.08;-0.53;4.80
423;1;1.800;-3.000;-4.012;0.13;0.06;-0.11;0.20;-0.05;-1.36;-1.92;6.81
424;1;1.800;-3.400;-4.068;0.18;0.01;-0.10;0.15;-0.09;-9.49;-1.65;8.44
425;1;1.800;-3.800;-4.122;0.24;0.00;-0.06;0.12;-0.13;-23.14;0.41;5.35
426;1;2.200;-0.200;-3.723;-0.32;-0.08;-0.17;-1.04;-0.18;10.78;25.08;-2.39
427;1;2.200;-0.600;-3.767;-0.02;0.02;-0.12;-0.61;-0.24;7.89;18.54;3.55
428;1;2.200;-1.000;-3.813;0.12;0.11;-0.09;-0.26;-0.26;6.83;12.81;6.03
429;1;2.200;-1.400;-3.858;0.18;0.18;-0.07;-0.02;-0.24;6.44;9.14;6.39
430;1;2.200;-1.800;-3.902;0.18;0.21;-0.07;0.14;-0.21;6.04;6.98;5.86
431;1;2.200;-2.200;-3.948;0.17;0.21;-0.09;0.24;-0.16;5.24;5.30;5.20
432;1;2.200;-2.600;-3.993;0.16;0.19;-0.12;0.28;-0.12;3.55;3.23;5.11
433;1;2.200;-3.000;-4.037;0.18;0.13;-0.14;0.28;-0.08;-0.44;0.81;6.22
434;1;2.200;-3.400;-4.082;0.23;0.06;-0.14;0.23;-0.08;-9.68;-0.53;7.82
435;1;2.200;-3.800;-4.128;0.31;0.01;-0.10;0.18;-0.10;-26.96;0.50;5.39
436;1;2.600;-0.200;-3.818;-0.42;-0.07;-0.13;-1.13;-0.32;16.59;20.50;1.21
437;1;2.600;-0.600;-3.852;-0.10;0.07;-0.07;-0.74;-0.28;14.67;17.13;6.25
438;1;2.600;-1.000;-3.888;0.08;0.19;-0.05;-0.40;-0.24;13.40;13.65;8.50
439;1;2.600;-1.400;-3.922;0.16;0.27;-0.06;-0.14;-0.22;11.99;11.18;8.94
440;1;2.600;-1.800;-3.957;0.19;0.31;-0.07;0.04;-0.20;9.98;9.81;8.38
441;1;2.600;-2.200;-3.993;0.19;0.32;-0.10;0.16;-0.18;7.33;8.86;7.23
442;1;2.600;-2.600;-4.028;0.19;0.30;-0.14;0.24;-0.14;4.07;7.22;5.97
443;1;2.600;-3.000;-4.063;0.22;0.24;-0.18;0.26;-0.08;-0.64;4.22;5.61
444;1;2.600;-3.400;-4.097;0.28;0.13;-0.19;0.22;-0.04;-9.99;1.10;6.65
445;1;2.600;-3.800;-4.133;0.38;0.03;-0.13;0.15;-0.04;-28.96;0.65;5.13
446;1;3.000;-0.200;-3.912;-0.44;-0.03;-0.06;-1.03;-0.47;23.58;15.06;3.14
447;1;3.000;-0.600;-3.938;-0.14;0.13;0.00;-0.73;-0.27;21.95;14.02;7.91
448;1;3.000;-1.000;-3.963;0.03;0.26;0.01;-0.47;-0.16;20.16;12.52;10.38
449;1;3.000;-1.400;-3.987;0.12;0.35;-0.01;-0.26;-0.11;17.50;11.26;11.31
450;1;3.000;-1.800;-4.012;0.16;0.40;-0.04;-0.10;-0.09;13.72;10.77;11.19
451;1;3.000;-2.200;-4.037;0.18;0.42;-0.08;0.02;-0.07;9.04;10.84;10.09
452;1;3.000;-2.600;-4.063;0.18;0.41;-0.13;0.10;-0.04;3.86;10.34;8.11
453;1;3.000;-3.000;-4.088;0.20;0.35;-0.18;0.14;0.01;-1.79;7.75;6.12
454;1;3.000;-3.400;-4.113;0.26;0.22;-0.22;0.10;0.06;-10.24;3.18;5.78
455;1;3.000;-3.800;-4.137;0.39;0.06;-0.17;0.01;0.03;-28.34;0.82;4.88
456;1;3.400;-0.200;-4.008;-0.34;0.03;0.01;-0.69;-0.50;26.82;9.08;2.75
457;1;3.400;-0.600;-4.023;-0.13;0.15;0.10;-0.59;-0.16;25.55;9.37;7.47
458;1;3.400;-1.000;-4.037;0.00;0.26;0.11;-0.44;0.05;23.50;9.15;10.66
459;1;3.400;-1.400;-4.052;0.07;0.35;0.08;-0.31;0.17;20.04;8.75;12.56
460;1;3.400;-1.800;-4.068;0.11;0.41;0.04;-0.21;0.23;15.33;8.84;13.35
461;1;3.400;-2.200;-4.082;0.12;0.43;0.00;-0.13;0.26;9.76;9.62;13.07
462;1;3.400;-2.600;-4.097;0.12;0.43;-0.05;-0.06;0.28;3.70;10.41;11.55
463;1;3.400;-3.000;-4.113;0.11;0.40;-0.11;-0.04;0.30;-2.44;9.29;8.98
464;1;3.400;-3.400;-4.128;0.14;0.30;-0.18;-0.11;0.30;-9.57;4.71;6.94
465;1;3.400;-3.800;-4.142;0.29;0.09;-0.19;-0.26;0.15;-24.42;0.72;5.59
466;1;3.800;-0.200;-4.102;-0.15;0.03;0.06;-0.26;-0.34;21.75;3.43;0.66
467;1;3.800;-0.600;-4.108;-0.07;0.08;0.18;-0.28;0.08;20.67;3.74;5.67
468;1;3.800;-1.000;-4.113;-0.01;0.14;0.20;-0.24;0.43;18.29;3.88;9.95
469;1;3.800;-1.400;-4.117;0.03;0.18;0.17;-0.19;0.67;14.94;3.88;12.85
470;1;3.800;-1.800;-4.122;0.05;0.21;0.13;-0.16;0.81;11.12;4.06;14.39
471;1;3.800;-2.200;-4.128;0.06;0.22;0.09;-0.12;0.86;7.33;4.68;14.89
472;1;3.800;-2.600;-4.133;0.05;0.23;0.07;-0.08;0.86;3.80;5.61;14.47
473;1;3.800;-3.000;-4.137;0.02;0.23;0.04;-0.06;0.85;0.44;5.29;12.94
474;1;3.800;-3.400;-4.142;-0.03;0.21;0.00;-0.15;0.80;-3.26;0.98;10.83
475;1;3.800;-3.800;-4.148;0.00;0.15;-0.09;-0.49;0.48;-13.31;-3.10;10.40
476;1;0.050;0.050;-3.175;0.74;-19.82;2.33;14.57;49.17;-34.60;65.94;50.83
477;1;0.050;0.150;-3.200;0.57;-1.93;3.02;-0.91;0.02;0.78;29.67;37.10
478;1;0.050;0.250;-3.224;0.00;-0.79;2.55;-1.32;-4.47;-3.55;16.84;31.34
479;1;0.050;0.350;-3.249;-0.28;-0.89;2.24;-2.15;-2.61;-10.48;7.63;24.97
480;1;0.050;0.450;-3.274;-0.41;-1.02;1.83;-2.54;-0.32;-15.03;-0.17;19.50
481;1;0.050;0.550;-3.298;-0.37;-1.00;1.47;-2.81;0.78;-17.18;-5.96;15.31
482;1;0.050;0.650;-3.323;-0.30;-0.88;1.15;-2.94;1.18;-17.77;-9.94;12.08
483;1;0.050;0.750;-3.348;-0.21;-0.73;0.87;-2.92;1.22;-17.24;-12.40;9.56
484;1;0.050;0.850;-3.372;-0.13;-0.58;0.63;-2.73;1.09;-15.93;-13.63;7.54
485;1;0.050;0.950;-3.397;-0.06;-0.43;0.44;-2.42;0.88;-14.09;-13.85;5.87
486;1;0.050;1.050;-3.422;-0.01;-0.30;0.30;-2.04;0.65;-11.95;-13.30;4.46
487;1;0.050;1.150;-3.446;0.03;-0.19;0.19;-1.65;0.41;-9.73;-12.20;3.24
488;1;0.050;1.250;-3.471;0.05;-0.12;0.12;-1.30;0.22;-7.61;-10.73;2.18
489;1;0.050;1.350;-3.496;0.06;-0.06;0.06;-0.96;0.10;-5.66;-9.05;1.32
490;1;0.050;1.450;-3.520;0.06;-0.03;0.03;-0.66;0.01;-4.03;-7.39;0.65
491;1;0.050;1.550;-3.545;0.06;-0.01;0.02;-0.48;-0.08;-2.70;-5.95;0.10
492;1;0.050;1.650;-3.570;0.05;0.00;0.01;-0.33;-0.08;-1.59;-4.70;-0.33
493;1;0.050;1.750;-3.595;0.04;0.00;0.00;-0.22;-0.07;-0.74;-3.66;-0.71
494;1;0.050;1.850;-3.619;0.04;0.01;0.00;-0.15;-0.05;-0.03;-2.79;-1.03
495;1;0.050;1.950;-3.644;0.03;0.01;-0.01;-0.09;-0.02;0.56;-2.05;-1.31
496;1;0.150;0.050;-3.200;-1.18;-5.57;-1.81;20.39;27.49;5.83;27.74;47.31
497;1;0.150;0.150;-3.224;-0.20;-3.26;1.92;-3.80;11.92;0.41;24.74;39.27
498;1;0.150;0.250;-3.248;-0.28;-1.43;2.13;-7.14;2.83;-3.38;17.52;30.23
499;1;0.150;0.350;-3.272;-0.30;-0.96;1.75;-6.11;0.65;-7.48;10.12;22.39
500;1;0.150;0.450;-3.296;-0.27;-0.87;1.40;-4.62;0.82;-10.38;3.58;16.04
501;1;0.150;0.550;-3.320;-0.23;-0.80;1.09;-3.82;1.19;-11.79;-1.74;11.33
